PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Child,Young,Young_m,Young_f,Cabin_known,Age_known,Family,Alone,LargeFamily,Deck,Bad_ticket,Fare_cat
245,0,3,1,30.0,0,0,7.225,0,0,1,1,0,0,1,0,1,0,8,0,0
246,0,1,1,44.0,2,0,90.0,1,0,0,0,0,1,1,2,0,0,2,0,1
247,0,3,0,25.0,0,0,7.775,2,0,1,0,1,0,1,0,1,0,8,1,0
248,1,2,0,24.0,0,2,14.5,2,0,1,0,1,0,1,2,0,0,8,0,1
249,1,1,1,37.0,1,1,52.5542,2,0,1,1,0,1,1,2,0,0,3,0,1
250,0,2,1,54.0,1,0,26.0,2,0,0,0,0,0,1,1,0,0,8,0,1
251,0,3,1,,0,0,7.25,2,0,0,0,0,0,0,0,1,0,8,1,0
252,0,3,0,29.0,1,1,10.4625,2,0,1,0,1,1,1,2,0,0,6,1,1
253,0,1,1,62.0,0,0,26.55,2,0,0,0,0,1,1,0,1,0,2,0,1
254,0,3,1,30.0,1,0,16.1,2,0,1,1,0,0,1,1,0,0,8,1,1
255,0,3,0,41.0,0,2,20.2125,2,0,0,0,0,0,1,2,0,0,8,1,1
256,1,3,0,29.0,0,2,15.2458,0,0,1,0,1,0,1,2,0,0,8,0,1
257,1,1,0,40.88235294117647,0,0,79.2,0,0,0,0,0,0,0,0,1,0,8,0,1
258,1,1,0,30.0,0,0,86.5,2,0,1,0,1,1,1,0,1,0,1,0,1
259,1,1,0,35.0,0,0,512.3292,0,0,1,0,1,0,1,0,1,0,8,0,2
260,1,2,0,50.0,0,1,26.0,2,0,0,0,0,0,1,1,0,0,8,0,1
261,0,3,1,,0,0,7.75,1,0,0,0,0,0,0,0,1,0,8,1,0
262,1,3,1,3.0,4,2,31.3875,2,1,0,0,0,0,1,6,0,1,8,1,1
263,0,1,1,52.0,1,1,79.65,2,0,0,0,0,1,1,2,0,0,4,0,1
264,0,1,1,40.0,0,0,0.0,2,0,1,1,0,1,1,0,1,0,1,0,0
265,0,3,0,16.1231884057971,0,0,7.75,1,1,0,0,0,0,0,0,1,0,8,1,0
266,0,2,1,36.0,0,0,10.5,2,0,1,1,0,0,1,0,1,0,8,0,1
267,0,3,1,16.0,4,1,39.6875,2,0,0,0,0,0,1,5,0,1,8,1,1
268,1,3,1,25.0,1,0,7.775,2,0,1,1,0,0,1,1,0,0,8,1,0
269,1,1,0,58.0,0,1,153.4625,2,0,0,0,0,1,1,1,0,0,2,0,2
270,1,1,0,35.0,0,0,135.6333,2,0,1,0,1,1,1,0,1,0,2,0,2
271,0,1,1,,0,0,31.0,2,0,0,0,0,0,0,0,1,0,8,0,1
272,1,3,1,25.0,0,0,0.0,2,0,1,1,0,0,1,0,1,0,8,1,0
273,1,2,0,41.0,0,1,19.5,2,0,0,0,0,0,1,1,0,0,8,0,1
274,0,1,1,37.0,0,1,29.7,0,0,1,1,0,1,1,1,0,0,2,0,1
275,1,3,0,16.1231884057971,0,0,7.75,1,1,0,0,0,0,0,0,1,0,8,1,0
276,1,1,0,63.0,1,0,77.9583,2,0,0,0,0,1,1,1,0,0,3,0,1
277,0,3,0,45.0,0,0,7.75,2,0,0,0,0,0,1,0,1,0,8,1,0
278,0,2,1,,0,0,0.0,2,0,0,0,0,0,0,0,1,0,8,0,0
279,0,3,1,7.0,4,1,29.125,1,1,0,0,0,0,1,5,0,1,8,1,1
280,1,3,0,35.0,1,1,20.25,2,0,1,0,1,0,1,2,0,0,8,0,1
281,0,3,1,65.0,0,0,7.75,1,0,0,0,0,0,1,0,1,0,8,1,0
282,0,3,1,28.0,0,0,7.8542,2,0,1,1,0,0,1,0,1,0,8,1,0
283,0,3,1,16.0,0,0,9.5,2,0,0,0,0,0,1,0,1,0,8,1,1
284,1,3,1,19.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
285,0,1,1,,0,0,26.0,2,0,0,0,0,1,0,0,1,0,0,0,1
286,0,3,1,33.0,0,0,8.6625,0,0,1,1,0,0,1,0,1,0,8,1,0
287,1,3,1,30.0,0,0,9.5,2,0,1,1,0,0,1,0,1,0,8,1,1
288,0,3,1,22.0,0,0,7.8958,2,0,1,1,0,0,1,0,1,0,8,1,0
289,1,2,1,42.0,0,0,13.0,2,0,0,0,0,0,1,0,1,0,8,0,1
290,1,3,0,22.0,0,0,7.75,1,0,1,0,1,0,1,0,1,0,8,1,0
291,1,1,0,26.0,0,0,78.85,2,0,1,0,1,0,1,0,1,0,8,0,1
292,1,1,0,19.0,1,0,91.0792,0,0,1,0,1,1,1,1,0,0,1,0,1
293,0,2,1,36.0,0,0,12.875,0,0,1,1,0,1,1,0,1,0,3,0,1
294,0,3,0,24.0,0,0,8.85,2,0,1,0,1,0,1,0,1,0,8,1,0
295,0,3,1,24.0,0,0,7.8958,2,0,1,1,0,0,1,0,1,0,8,1,0
296,0,1,1,,0,0,27.7208,0,0,0,0,0,0,0,0,1,0,8,0,1
297,0,3,1,23.5,0,0,7.2292,0,0,1,1,0,0,1,0,1,0,8,0,0
298,0,1,0,2.0,1,2,151.55,2,1,0,0,0,1,1,3,0,0,2,0,2
